year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-01-10,Northern Colorado,2026 Northern Colorado,Idaho St.,2026 Idaho St.,home,,,0,,,0,,
2026,2026-01-15,Northern Colorado,2026 Northern Colorado,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-01-17,Northern Colorado,2026 Northern Colorado,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-01-19,Northern Colorado,2026 Northern Colorado,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-01-24,Northern Colorado,2026 Northern Colorado,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-29,Northern Colorado,2026 Northern Colorado,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-01-31,Northern Colorado,2026 Northern Colorado,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-05,Northern Colorado,2026 Northern Colorado,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-02-07,Northern Colorado,2026 Northern Colorado,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-02-12,Northern Colorado,2026 Northern Colorado,Portland St.,2026 Portland St.,Home,,,0,,,0,,
2026,2026-02-14,Northern Colorado,2026 Northern Colorado,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-02-21,Northern Colorado,2026 Northern Colorado,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-02-26,Northern Colorado,2026 Northern Colorado,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-02-28,Northern Colorado,2026 Northern Colorado,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
2026,2026-03-02,Northern Colorado,2026 Northern Colorado,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-01-01,Portland St.,2026 Portland St.,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-01-03,Portland St.,2026 Portland St.,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-01-10,Portland St.,2026 Portland St.,Sacramento St.,2026 Sacramento St.,Home,,,0,,,0,,
2026,2026-01-15,Portland St.,2026 Portland St.,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-17,Portland St.,2026 Portland St.,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-01-22,Portland St.,2026 Portland St.,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
