game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20101403a,a,1403,2010,South,First Round,5,2010 Texas A&M,12,2010 Utah St.,69,53,16,122,1
20101404a,a,1404,2010,South,First Round,4,2010 Purdue,13,2010 Siena,72,64,8,136,1
20101405a,a,1405,2010,South,First Round,6,2010 Notre Dame,11,2010 Old Dominion,50,51,-1,101,0
20101406a,a,1406,2010,South,First Round,3,2010 Baylor,14,2010 Sam Houston St.,68,59,9,127,1
20101407a,a,1407,2010,South,First Round,7,2010 Richmond,10,2010 Saint Mary's,71,80,-9,151,0
20101408a,a,1408,2010,South,First Round,2,2010 Villanova,15,2010 Robert Morris,73,70,3,143,1
20102109a,a,2109,2010,Midwest,Second Round,1,2010 Kansas,9,2010 Northern Iowa,67,69,-2,136,0
20102110a,a,2110,2010,Midwest,Second Round,5,2010 Michigan St.,4,2010 Maryland,85,83,2,168,1
20102111a,a,2111,2010,Midwest,Second Round,6,2010 Tennessee,14,2010 Ohio,83,68,15,151,1
20102112a,a,2112,2010,Midwest,Second Round,10,2010 Georgia Tech,2,2010 Ohio St.,66,75,-9,141,0
20102209a,a,2209,2010,West,Second Round,1,2010 Syracuse,8,2010 Gonzaga,87,65,22,152,1
20102210a,a,2210,2010,West,Second Round,5,2010 Butler,13,2010 Murray St.,54,52,2,106,1
20102211a,a,2211,2010,West,Second Round,6,2010 Xavier,3,2010 Pittsburgh,71,68,3,139,1
20102212a,a,2212,2010,West,Second Round,7,2010 BYU,2,2010 Kansas St.,72,84,-12,156,0
20102309a,a,2309,2010,East,Second Round,1,2010 Kentucky,9,2010 Wake Forest,90,60,30,150,1
20102310a,a,2310,2010,East,Second Round,12,2010 Cornell,4,2010 Wisconsin,87,69,18,156,1
20102311a,a,2311,2010,East,Second Round,11,2010 Washington,3,2010 New Mexico,82,64,18,146,1
20102312a,a,2312,2010,East,Second Round,10,2010 Missouri,2,2010 West Virginia,59,68,-9,127,0
20102409a,a,2409,2010,South,Second Round,1,2010 Duke,8,2010 California,68,53,15,121,1
20102410a,a,2410,2010,South,Second Round,5,2010 Texas A&M,4,2010 Purdue,61,63,-2,124,0
20102411a,a,2411,2010,South,Second Round,11,2010 Old Dominion,3,2010 Baylor,68,76,-8,144,0
20102412a,a,2412,2010,South,Second Round,10,2010 Saint Mary's,2,2010 Villanova,75,68,7,143,1
20103113a,a,3113,2010,Midwest,Sweet 16,9,2010 Northern Iowa,5,2010 Michigan St.,52,59,-7,111,0
