year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,win,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2024,Final Four,Final Four,3,2024 Connecticut,1,2024 Iowa,0,-1.2,0.0046,6.7,-3.4,1.3,-0.4,-62.8,58.5,-42.7,42,-52.2,49.3,1.7,-1.2,-33.1,33.4,-29.6,17.9,-4.6
2024,Final Four,Championship,1,2024 South Carolina,1,2024 Iowa,1,3.5,0.0058,7.2,-1.3,0.6,5,-62.9,60.6,-34.1,39.6,-48.6,48.6,-1.3,5.3,-29.2,35.1,-37.3,24,-3.2
2025,East,Sweet 16,5,2025 Tennessee,1,2025 Texas,0,-8.7,-0.0123,-12,1.4,-7.3,3.6,-52.8,53.4,-31.8,26.3,-46.4,36.3,-6.2,1.2,-39.1,40.7,-32.7,55.5,7.8
2025,East,Elite Eight,2,2025 TCU,1,2025 Texas,0,-3.7,-0.0046,-5.5,1.8,-2.5,10.4,-52.5,62.3,-37.4,32.1,-43.2,42.6,-3.5,12.3,-33.9,37.5,-32.4,57.6,-2.8
2025,Final Four,Final Four,1,2025 South Carolina,1,2025 Texas,1,2.2,0.0015,-4.9,11,-7,11.7,-53.5,58.3,-32.3,27.7,-42,46.5,-7.2,12.6,-37.6,40.7,-48.3,55.3,0.6
2021,Midwest,Sweet 16,5,2021 Iowa,1,2021 Connecticut,0,-2.3,-0.0409,-5.7,-11.5,-2.8,-7.5,-54.9,62.4,-46.5,30,-57,49.9,-4.6,-9,-33.2,30.7,-25,33.5,2.6
2021,Midwest,Elite Eight,2,2021 Baylor,1,2021 Connecticut,0,3.1,-0.0016,-17.5,13.5,-10.9,7.1,-52.1,56.1,-29.5,39.5,-55,48.1,-11.3,7,-41.1,38.4,-47.3,36.5,2.2
2021,Final Four,Final Four,3,2021 Arizona,1,2021 Connecticut,1,-1.7,-0.01,-24.8,11.5,-16.5,1.7,-55.8,53.9,-46.1,34.3,-58.3,49.2,-18.4,2.5,-41.8,33.2,-33.5,38.8,-0.9
2022,East,Sweet 16,5,2022 Notre Dame,1,2022 North Carolina St.,0,-7.2,-0.03,-16.4,0.5,-10.4,3.4,-58.4,59.1,-41.8,37.4,-58.1,59.6,-11.1,6.6,-39.8,31.3,-37.8,34.3,3
2022,East,Elite Eight,2,2022 Connecticut,1,2022 North Carolina St.,1,-6,-0.002,-10.6,6.6,-4.7,7.4,-58.5,58.8,-41,38.6,-60.5,59.3,-4,10,-37.6,34.7,-31.3,32.6,-0.2
2024,West,Sweet 16,5,2024 Baylor,1,2024 USC,0,-5.2,-0.0045,-13.7,9.3,-5.9,8,-56,57.1,-36.8,42.5,-49.1,44.7,-6.7,8.6,-36,38.3,-33.2,35.9,3.3
2024,West,Elite Eight,3,2024 Connecticut,1,2024 USC,1,-0.9,0.0089,0.9,9.6,-1.2,9.9,-59.7,59,-40.6,40.8,-48.4,48.8,-1.6,12.9,-33.5,36,-37.3,28.8,1.6
2025,West,Sweet 16,5,2025 Kansas St.,1,2025 USC,0,-8.1,-0.0074,-11.8,5.1,-4.3,9.6,-56.1,59.1,-42.7,37.9,-50.2,46.7,-7.3,9.8,-32.1,39.4,-35.2,35.4,-4.2
2025,West,Elite Eight,2,2025 Connecticut,1,2025 USC,1,-2.3,0.0029,1.1,14.2,-2,10.5,-59,53.1,-41.8,37.4,-53.9,49.8,-3.3,11.9,-32.5,39.2,-35,28.4,-5.2
2023,Midwest,Elite Eight,9,2023 Miami FL,3,2023 LSU,0,-8.22,-0.0628,-16.4,-3.2,-12,1.9,-53.5,56.6,-37.8,26.3,-45.5,35.1,-11.6,3,-42.1,32.4,-37.7,44.2,-3
2023,Final Four,Championship,2,2023 Iowa,3,2023 LSU,0,0.4,-0.0052,0.6,-2.9,-1.8,3.1,-57.3,61.8,-46.8,30.1,-41.6,35.6,-0.6,3.3,-35.9,34.3,-28.1,39.8,1.4
2023,Midwest,Sweet 16,2,2023 Utah,3,2023 LSU,0,0.2,-0.0111,0,-5.3,-4.3,2.9,-56.7,58.4,-40.9,26.4,-40.9,33.2,-3.1,5.2,-37.5,31,-27,48.1,0.7
2023,Final Four,Final Four,1,2023 Virginia Tech,3,2023 LSU,0,1.7,-0.0047,-4.1,0.6,-8,6.8,-56.2,59.8,-42.1,29.4,-44.8,38.5,-8.4,8,-38.2,35.3,-28.1,50.2,-5.7
2023,Midwest,Sweet 16,9,2023 Miami FL,4,2023 Villanova,1,-7.12,-0.0518,-11.9,-0.6,-10,3.7,-55.6,61,-32.2,40.8,-42.4,48.9,-12.4,4.3,-35.3,35,-44.7,33.1,3.8
2023,East,Sweet 16,8,2023 Mississippi,5,2023 Louisville,0,-0.6,0.0024,-13.7,12.5,-8.9,12.2,-54.7,54.9,-33,36.7,-39.4,38.8,-10.4,13,-37.4,39.9,-43,49.9,-1.2
2023,East,Elite Eight,2,2023 Iowa,5,2023 Louisville,1,4.3,0.017,5.1,4.5,3,5.1,-56.9,59.9,-43.5,40.5,-36.6,45.9,2.2,5.5,-29.6,35.6,-30.8,36.5,4.7
